pmid,doi,title,authors,journal,publication_year,source_url,dataset_code,species,tissue_or_cell,condition,enrichment_method,ms_instrument,search_software,localization_threshold,fdr_threshold,raw_protein_count,raw_site_count,retained_protein_count,retained_site_count
34264677,10.1021/acs.jafc.1c00760,Comprehensive Analysis of Lysine Lactylation in Rice (Oryza sativa) Grains,"Meng X, Baine JM, Yan T, Wang S",Journal of agricultural and food chemistry,2021,https://pubmed.ncbi.nlm.nih.gov/34264677/,34264677_oryza_sativa,Oryza sativa,Developing rice grains,Normal grain development; exact stage Not reported,Pan anti-lactyllysine antibody-conjugated agarose enrichment,Q Exactive Plus hybrid quadrupole-Orbitrap,MaxQuant,Low-localization-probability sites were removed; exact threshold Not reported,"Protein, peptide, and modification-site FDR approximately 1%",342,638,335,626
35800753,10.1016/j.isci.2022.104630,Identification of lysine-lactylated substrates in gastric cancer cells,"Yang D, Yin J, Shan L, Yi X, Zhang W et al",iScience,2022,https://pubmed.ncbi.nlm.nih.gov/35800753/,35800753_homo_sapiens,Homo sapiens,AGS gastric cancer cells; gastric tumor and adjacent tissues for validation,Lactate/Kla profiling; tumor versus adjacent-tissue validation,Anti-Kla antibody affinity enrichment,LC-MS/MS; instrument model Not reported,MaxQuant,Localization probability >0.75,Not reported,1014,2375,1009,2365
36030297,10.1007/s10571-022-01277-6,Global-Scale Profiling of Differential Expressed Lysine-Lactylated Proteins in the Cerebral Endothelium of Cerebral Ischemia-Reperfusion Injury Rats,"Yao Y, Bade R, Li G, Zhang A, Zhao H et al",Cellular and molecular neurobiology,2023,https://pubmed.ncbi.nlm.nih.gov/36030297/,36030297_rattus_norvegicus,Rattus norvegicus,Rat cerebral cortex/cerebral endothelial tissue,Cerebral ischemia-reperfusion injury versus healthy control,Pan anti-Kla antibody enrichment,Q Exactive Plus,MaxQuant,A localization-probability threshold was used; exact value Not reported,FDR <1%,469,1003,342,733
36386791,10.3389/fgene.2022.1014225,Comprehensive analysis of lysine lactylation in Frankliniella occidentalis,"An D, Song L, Li Y, Shen L, Miao P et al",Frontiers in genetics,2022,https://pubmed.ncbi.nlm.nih.gov/36386791/,36386791_frankliniella_occidentalis,Frankliniella occidentalis,Whole-body Frankliniella occidentalis samples,Baseline lactylome; developmental stage or treatment Not reported,Antibody affinity enrichment of lactylated peptides; details Not reported,Q Exactive Plus hybrid quadrupole-Orbitrap,MaxQuant,Not reported,"Protein, peptide, and modification-site FDR threshold Not reported",469,1458,356,939
36593272,10.1038/s42255-022-00710-w,Lactylome analysis suggests lactylation-dependent mechanisms of metabolic adaptation in hepatocellular carcinoma,"Yang Z, Yan C, Ma J, Peng P, Ren X et al",Nature metabolism,2023,https://pubmed.ncbi.nlm.nih.gov/36593272/,36593272_homo_sapiens,Homo sapiens,HBV-related hepatocellular carcinoma and paired adjacent liver tissues,Tumor versus paired adjacent liver; integrated lactylome and proteome analysis,Anti-L-lactyllysine antibody (PTM-1401RM),Not reported,Not reported,Not reported,Not reported,,9275,2420,9211
36625413,10.1002/pmic.202200432,Global profiling of protein lysine lactylation and potential target modified protein analysis in hepatocellular carcinoma,"Hong H, Chen X, Wang H, Gu X, Yuan Y et al",Proteomics,2023,https://pubmed.ncbi.nlm.nih.gov/36625413/,36625413_homo_sapiens,Homo sapiens,"Non-metastatic HCC, normal liver, and HCC lung-metastasis tissues",Three-group comparison,Pan anti-Kla antibody affinity enrichment,Q Exactive HF-X,MaxQuant,A site-localization threshold was applied; exact value Not reported,Approximately 1%; exact value Not reported,960,2045,951,2033
37159428,10.1021/acs.jproteome.2c00756,Multi-Proteomic Analysis Reveals the Effect of Protein Lactylation on Matrix and Cholesterol Metabolism in Tendinopathy,"Lin Y, Chen M, Wang D, Yu Y, Chen R et al",Journal of proteome research,2023,https://pubmed.ncbi.nlm.nih.gov/37159428/,37159428_homo_sapiens,Homo sapiens,Pathological rotator-cuff tendon and normal control tendon,Rotator cuff tendinopathy versus normal control,Affinity enrichment of lactylated peptides,Q Exactive HF-X,MaxQuant,Not reported,Approximately 1%; exact value Not reported,284,872,448,1255
37170646,10.1002/pmic.202200437,Global profiling of lysine lactylation in human lungs,"Yang YH, Wang QC, Kong J, Yang JT, Liu JF",Proteomics,2023,https://pubmed.ncbi.nlm.nih.gov/37170646/,37170646_homo_sapiens,Homo sapiens,Normal human lung tissue,Normal physiological condition; selected analyses compared male and female samples,Immunoaffinity enrichment of lactylated peptides; antibody details Not reported,Q Exactive Plus,MaxQuant,Class I sites; localization probability threshold was Not reported,Peptide FDR 1%,451,724,329,610
37897433,10.1021/acs.jproteome.3c00156,Global Profiling of Lysine Acetylation and Lactylation in Kupffer Cells,"Sung E, Sim H, Cho YC, Lee W, Bae JS et al",Journal of proteome research,2023,https://pubmed.ncbi.nlm.nih.gov/37897433/,37897433_mus_musculus,Mus musculus,Immortalized mouse Kupffer cells,Basal condition; Kac and Kla were profiled jointly,Pan anti-Kla antibody enrichment,LTQ-Orbitrap Velos,MaxQuant 1.x,Localization probability >0.75; exact value Not reported,FDR 1%,181,289,36,109
38003390,10.3390/ijms242216195,Global Analysis of Lysine Lactylation of Germinated Seeds in Wheat,"Zhu J, Guo W, Lan Y",International journal of molecular sciences,2023,https://pubmed.ncbi.nlm.nih.gov/38003390/,38003390_triticum_aestivum,Triticum aestivum,Germinating wheat seeds,0 h versus 12 h after imbibition,Anti-lactyllysine antibody enrichment,Orbitrap platform; exact model Not reported,MaxQuant,A site-localization probability threshold was applied; exact value Not reported,Not reported,394,927,376,895
